image_id	instance_id	object_id	raw_name	gt_category_id	pred_instance_id	pred_category_id	mask_iou_best_any_class	mask_iou_class_matched	class_correct
obj_006_勺子2__color_00001	obj_006_勺子2__color_00001__gt00	obj_006_勺子2	勺子2	spoon	obj_006_勺子2__color_00001__yolo_pred00	spoon	0.943417	0.943417	1
obj_006_勺子2__color_00002	obj_006_勺子2__color_00002__gt00	obj_006_勺子2	勺子2	spoon	obj_006_勺子2__color_00002__yolo_pred00	spoon	0.962343	0.962343	1
obj_007_勺子3__color_00000	obj_007_勺子3__color_00000__gt00	obj_007_勺子3	勺子3	spoon	obj_007_勺子3__color_00000__yolo_pred00	spoon	0.937623	0.937623	1
obj_007_勺子3__color_00001	obj_007_勺子3__color_00001__gt00	obj_007_勺子3	勺子3	spoon	obj_007_勺子3__color_00001__yolo_pred00	spoon	0.931884	0.931884	1
obj_007_勺子3__color_00002	obj_007_勺子3__color_00002__gt00	obj_007_勺子3	勺子3	spoon	obj_007_勺子3__color_00002__yolo_pred00	spoon	0.927761	0.927761	1
obj_007_勺子3__color_00003	obj_007_勺子3__color_00003__gt00	obj_007_勺子3	勺子3	spoon	obj_007_勺子3__color_00003__yolo_pred00	spoon	0.925008	0.925008	1
obj_007_勺子3__color_00004	obj_007_勺子3__color_00004__gt00	obj_007_勺子3	勺子3	spoon	obj_007_勺子3__color_00004__yolo_pred00	spoon	0.933529	0.933529	1
obj_008_医疗箱__color_00000	obj_008_医疗箱__color_00000__gt00	obj_008_医疗箱	医疗箱	bag	obj_008_医疗箱__color_00000__yolo_pred00	bag	0.918444	0.918444	1
obj_008_医疗箱__color_00001	obj_008_医疗箱__color_00001__gt00	obj_008_医疗箱	医疗箱	bag	obj_008_医疗箱__color_00001__yolo_pred00	bag	0.923018	0.923018	1
obj_008_医疗箱__color_00002	obj_008_医疗箱__color_00002__gt00	obj_008_医疗箱	医疗箱	bag	obj_008_医疗箱__color_00002__yolo_pred00	bag	0.917161	0.917161	1
obj_008_医疗箱__color_00003	obj_008_医疗箱__color_00003__gt00	obj_008_医疗箱	医疗箱	bag	obj_008_医疗箱__color_00003__yolo_pred00	bag	0.917219	0.917219	1
obj_009_叉子__color_00000	obj_009_叉子__color_00000__gt00	obj_009_叉子	叉子	fork	obj_009_叉子__color_00000__yolo_pred00	fork	0.799682	0.799682	1
obj_009_叉子__color_00001	obj_009_叉子__color_00001__gt00	obj_009_叉子	叉子	fork	obj_009_叉子__color_00001__yolo_pred00	fork	0.849298	0.849298	1
obj_009_叉子__color_00002	obj_009_叉子__color_00002__gt00	obj_009_叉子	叉子	fork	obj_009_叉子__color_00002__yolo_pred00	fork	0.829397	0.829397	1
obj_009_叉子__color_00003	obj_009_叉子__color_00003__gt00	obj_009_叉子	叉子	fork	obj_009_叉子__color_00003__yolo_pred00	fork	0.814352	0.814352	1
obj_009_叉子__color_00004	obj_009_叉子__color_00004__gt00	obj_009_叉子	叉子	fork	obj_009_叉子__color_00004__yolo_pred00	fork	0.836168	0.836168	1
obj_010_开关__color_00000	obj_010_开关__color_00000__gt00	obj_010_开关	开关	button	obj_010_开关__color_00000__yolo_pred00	button	0.902210	0.902210	1
obj_010_开关__color_00001	obj_010_开关__color_00001__gt00	obj_010_开关	开关	button	obj_010_开关__color_00001__yolo_pred00	button	0.919527	0.919527	1
obj_010_开关__color_00002	obj_010_开关__color_00002__gt00	obj_010_开关	开关	button	obj_010_开关__color_00002__yolo_pred00	button	0.914643	0.914643	1
obj_011_托盘__color_00000	obj_011_托盘__color_00000__gt00	obj_011_托盘	托盘	plate	obj_011_托盘__color_00000__yolo_pred00	plate	0.928962	0.928962	1
obj_011_托盘__color_00002	obj_011_托盘__color_00002__gt00	obj_011_托盘	托盘	plate	obj_011_托盘__color_00002__yolo_pred00	plate	0.917969	0.917969	1
obj_011_托盘__color_00003	obj_011_托盘__color_00003__gt00	obj_011_托盘	托盘	plate	obj_011_托盘__color_00003__yolo_pred00	plate	0.915889	0.915889	1
obj_012_抹布__color_00000	obj_012_抹布__color_00000__gt00	obj_012_抹布	抹布	cleaning	obj_012_抹布__color_00000__yolo_pred00	cleaning	0.906378	0.906378	1
obj_012_抹布__color_00001	obj_012_抹布__color_00001__gt00	obj_012_抹布	抹布	cleaning	obj_012_抹布__color_00001__yolo_pred00	cleaning	0.901402	0.901402	1
obj_012_抹布__color_00003	obj_012_抹布__color_00003__gt00	obj_012_抹布	抹布	cleaning	obj_012_抹布__color_00003__yolo_pred00	cleaning	0.913803	0.913803	1
obj_013_果酱__color_00000	obj_013_果酱__color_00000__gt00	obj_013_果酱	果酱	bottle	obj_013_果酱__color_00000__yolo_pred00	bottle	0.932240	0.932240	1
obj_013_果酱__color_00001	obj_013_果酱__color_00001__gt00	obj_013_果酱	果酱	bottle	obj_013_果酱__color_00001__yolo_pred00	bottle	0.932178	0.932178	1
obj_013_果酱__color_00002	obj_013_果酱__color_00002__gt00	obj_013_果酱	果酱	bottle	obj_013_果酱__color_00002__yolo_pred00	bottle	0.928581	0.928581	1
obj_013_果酱__color_00003	obj_013_果酱__color_00003__gt00	obj_013_果酱	果酱	bottle	obj_013_果酱__color_00003__yolo_pred00	bottle	0.930017	0.930017	1
obj_014_水杯__color_00003	obj_014_水杯__color_00003__gt00	obj_014_水杯	水杯	open_container	obj_014_水杯__color_00003__yolo_pred00	open_container	0.987416	0.987416	1
obj_015_水果刀__color_00000	obj_015_水果刀__color_00000__gt00	obj_015_水果刀	水果刀	knife	obj_015_水果刀__color_00000__yolo_pred00	knife	0.934828	0.934828	1
obj_015_水果刀__color_00001	obj_015_水果刀__color_00001__gt00	obj_015_水果刀	水果刀	knife	obj_015_水果刀__color_00001__yolo_pred00	knife	0.911907	0.911907	1
obj_015_水果刀__color_00002	obj_015_水果刀__color_00002__gt00	obj_015_水果刀	水果刀	knife	obj_015_水果刀__color_00002__yolo_pred00	knife	0.872827	0.872827	1
obj_015_水果刀__color_00003	obj_015_水果刀__color_00003__gt00	obj_015_水果刀	水果刀	knife	obj_015_水果刀__color_00003__yolo_pred00	knife	0.913616	0.913616	1
obj_016_水果刀2__color_00000	obj_016_水果刀2__color_00000__gt00	obj_016_水果刀2	水果刀2	knife	obj_016_水果刀2__color_00000__yolo_pred00	knife	0.764566	0.764566	1
obj_016_水果刀2__color_00001	obj_016_水果刀2__color_00001__gt00	obj_016_水果刀2	水果刀2	knife	obj_016_水果刀2__color_00001__yolo_pred00	knife	0.721592	0.721592	1
obj_016_水果刀2__color_00002	obj_016_水果刀2__color_00002__gt00	obj_016_水果刀2	水果刀2	knife	obj_016_水果刀2__color_00002__yolo_pred00	knife	0.856729	0.856729	1
obj_016_水果刀2__color_00003	obj_016_水果刀2__color_00003__gt00	obj_016_水果刀2	水果刀2	knife	obj_016_水果刀2__color_00003__yolo_pred00	knife	0.741856	0.741856	1
obj_017_洒水壶__color_00000	obj_017_洒水壶__color_00000__gt00	obj_017_洒水壶	洒水壶	kettle	obj_017_洒水壶__color_00000__yolo_pred00	kettle	0.805882	0.805882	1
obj_017_洒水壶__color_00001	obj_017_洒水壶__color_00001__gt00	obj_017_洒水壶	洒水壶	kettle	obj_017_洒水壶__color_00001__yolo_pred00	kettle	0.848875	0.848875	1
obj_017_洒水壶__color_00002	obj_017_洒水壶__color_00002__gt00	obj_017_洒水壶	洒水壶	kettle	obj_017_洒水壶__color_00002__yolo_pred00	kettle	0.845785	0.845785	1
obj_018_洒水壶2__color_00001	obj_018_洒水壶2__color_00001__gt00	obj_018_洒水壶2	洒水壶2	spray_bottle	obj_018_洒水壶2__color_00001__yolo_pred00	spray_bottle	0.875367	0.875367	1
obj_019_盆栽__color_00000	obj_019_盆栽__color_00000__gt00	obj_019_盆栽	盆栽	open_container	obj_019_盆栽__color_00000__yolo_pred00	open_container	0.874590	0.874590	1
obj_019_盆栽__color_00001	obj_019_盆栽__color_00001__gt00	obj_019_盆栽	盆栽	open_container	obj_019_盆栽__color_00001__yolo_pred00	open_container	0.862408	0.862408	1
obj_019_盆栽__color_00002	obj_019_盆栽__color_00002__gt00	obj_019_盆栽	盆栽	open_container	obj_019_盆栽__color_00002__yolo_pred00	open_container	0.887366	0.887366	1
obj_019_盆栽__color_00003	obj_019_盆栽__color_00003__gt00	obj_019_盆栽	盆栽	open_container	obj_019_盆栽__color_00003__yolo_pred00	open_container	0.840236	0.840236	1
obj_020_盘子__color_00000	obj_020_盘子__color_00000__gt00	obj_020_盘子	盘子	plate	obj_020_盘子__color_00000__yolo_pred00	plate	0.922070	0.922070	1
obj_020_盘子__color_00001	obj_020_盘子__color_00001__gt00	obj_020_盘子	盘子	plate	obj_020_盘子__color_00001__yolo_pred00	plate	0.922889	0.922889	1
obj_020_盘子__color_00002	obj_020_盘子__color_00002__gt00	obj_020_盘子	盘子	plate	obj_020_盘子__color_00002__yolo_pred00	plate	0.925082	0.925082	1
obj_021_盘子2__color_00000	obj_021_盘子2__color_00000__gt00	obj_021_盘子2	盘子2	plate	obj_021_盘子2__color_00000__yolo_pred00	plate	0.922613	0.922613	1
obj_021_盘子2__color_00001	obj_021_盘子2__color_00001__gt00	obj_021_盘子2	盘子2	plate	obj_021_盘子2__color_00001__yolo_pred00	plate	0.923197	0.923197	1
obj_021_盘子2__color_00002	obj_021_盘子2__color_00002__gt00	obj_021_盘子2	盘子2	plate	obj_021_盘子2__color_00002__yolo_pred00	plate	0.923422	0.923422	1
obj_021_盘子2__color_00003	obj_021_盘子2__color_00003__gt00	obj_021_盘子2	盘子2	plate	obj_021_盘子2__color_00003__yolo_pred00	plate	0.920905	0.920905	1
obj_022_碗__color_00003	obj_022_碗__color_00003__gt00	obj_022_碗	碗	open_container	obj_022_碗__color_00003__yolo_pred00	open_container	0.907942	0.907942	1
obj_023_碗2__color_00000	obj_023_碗2__color_00000__gt00	obj_023_碗2	碗2	open_container	obj_023_碗2__color_00000__yolo_pred00	open_container	0.911538	0.911538	1
obj_023_碗2__color_00001	obj_023_碗2__color_00001__gt00	obj_023_碗2	碗2	open_container	obj_023_碗2__color_00001__yolo_pred01	open_container	0.563576	0.563576	1
obj_023_碗2__color_00002	obj_023_碗2__color_00002__gt00	obj_023_碗2	碗2	open_container	obj_023_碗2__color_00002__yolo_pred00	open_container	0.912683	0.912683	1
obj_023_碗2__color_00003	obj_023_碗2__color_00003__gt00	obj_023_碗2	碗2	open_container	obj_023_碗2__color_00003__yolo_pred00	open_container	0.924493	0.924493	1
obj_024_筷子__color_00001	obj_024_筷子__color_00001__gt00	obj_024_筷子	筷子	chopsticks	obj_024_筷子__color_00001__yolo_pred00	chopsticks	0.891590	0.891590	1
obj_025_筷子2__color_00000	obj_025_筷子2__color_00000__gt00	obj_025_筷子2	筷子2	chopsticks	obj_025_筷子2__color_00000__yolo_pred00	chopsticks	0.856006	0.856006	1
obj_025_筷子2__color_00001	obj_025_筷子2__color_00001__gt00	obj_025_筷子2	筷子2	chopsticks	obj_025_筷子2__color_00001__yolo_pred00	chopsticks	0.860240	0.860240	1
obj_025_筷子2__color_00002	obj_025_筷子2__color_00002__gt00	obj_025_筷子2	筷子2	chopsticks	obj_025_筷子2__color_00002__yolo_pred00	chopsticks	0.874024	0.874024	1
obj_025_筷子2__color_00003	obj_025_筷子2__color_00003__gt00	obj_025_筷子2	筷子2	chopsticks	obj_025_筷子2__color_00003__yolo_pred00	chopsticks	0.885906	0.885906	1
obj_026_粘毛器__color_00000	obj_026_粘毛器__color_00000__gt00	obj_026_粘毛器	粘毛器	lint_roller	obj_026_粘毛器__color_00000__yolo_pred00	lint_roller	0.882212	0.882212	1
obj_026_粘毛器__color_00001	obj_026_粘毛器__color_00001__gt00	obj_026_粘毛器	粘毛器	lint_roller	obj_026_粘毛器__color_00001__yolo_pred00	lint_roller	0.791439	0.791439	1
obj_026_粘毛器__color_00002	obj_026_粘毛器__color_00002__gt00	obj_026_粘毛器	粘毛器	lint_roller	obj_026_粘毛器__color_00002__yolo_pred00	lint_roller	0.923687	0.923687	1
obj_026_粘毛器__color_00003	obj_026_粘毛器__color_00003__gt00	obj_026_粘毛器	粘毛器	lint_roller	obj_026_粘毛器__color_00003__yolo_pred00	lint_roller	0.866750	0.866750	1
obj_027_纸巾__color_00001	obj_027_纸巾__color_00001__gt00	obj_027_纸巾	纸巾	tissue	obj_027_纸巾__color_00001__yolo_pred00	tissue	0.912067	0.912067	1
obj_027_纸巾__color_00003	obj_027_纸巾__color_00003__gt00	obj_027_纸巾	纸巾	tissue	obj_027_纸巾__color_00003__yolo_pred00	tissue	0.926408	0.926408	1
obj_028_药瓶__color_00000	obj_028_药瓶__color_00000__gt00	obj_028_药瓶	药瓶	bottle	obj_028_药瓶__color_00000__yolo_pred00	bottle	0.933869	0.933869	1
obj_028_药瓶__color_00001	obj_028_药瓶__color_00001__gt00	obj_028_药瓶	药瓶	bottle	obj_028_药瓶__color_00001__yolo_pred00	bottle	0.904957	0.904957	1
obj_028_药瓶__color_00002	obj_028_药瓶__color_00002__gt00	obj_028_药瓶	药瓶	bottle	obj_028_药瓶__color_00002__yolo_pred00	bottle	0.934874	0.934874	1
obj_028_药瓶__color_00003	obj_028_药瓶__color_00003__gt00	obj_028_药瓶	药瓶	bottle	obj_028_药瓶__color_00003__yolo_pred00	bottle	0.925431	0.925431	1
obj_029_菜刀__color_00000	obj_029_菜刀__color_00000__gt00	obj_029_菜刀	菜刀	knife	obj_029_菜刀__color_00000__yolo_pred00	knife	0.932965	0.932965	1
obj_029_菜刀__color_00001	obj_029_菜刀__color_00001__gt00	obj_029_菜刀	菜刀	knife	obj_029_菜刀__color_00001__yolo_pred00	knife	0.931587	0.931587	1
obj_029_菜刀__color_00002	obj_029_菜刀__color_00002__gt00	obj_029_菜刀	菜刀	knife	obj_029_菜刀__color_00002__yolo_pred00	knife	0.934324	0.934324	1
obj_029_菜刀__color_00003	obj_029_菜刀__color_00003__gt00	obj_029_菜刀	菜刀	knife	obj_029_菜刀__color_00003__yolo_pred00	knife	0.925507	0.925507	1
obj_030_菜板__color_00001	obj_030_菜板__color_00001__gt00	obj_030_菜板	菜板	cutting_board	obj_030_菜板__color_00001__yolo_pred00	cutting_board	0.982424	0.982424	1
obj_030_菜板__color_00002	obj_030_菜板__color_00002__gt00	obj_030_菜板	菜板	cutting_board	obj_030_菜板__color_00002__yolo_pred00	cutting_board	0.984816	0.984816	1
obj_031_衬衫__color_00000	obj_031_衬衫__color_00000__gt00	obj_031_衬衫	衬衫	clothing	obj_031_衬衫__color_00000__yolo_pred00	clothing	0.963053	0.963053	1
obj_031_衬衫__color_00002	obj_031_衬衫__color_00002__gt00	obj_031_衬衫	衬衫	clothing	obj_031_衬衫__color_00002__yolo_pred00	clothing	0.956551	0.956551	1
obj_032_连帽衫__color_00000	obj_032_连帽衫__color_00000__gt00	obj_032_连帽衫	连帽衫	clothing	obj_032_连帽衫__color_00000__yolo_pred00	clothing	0.971217	0.971217	1
obj_032_连帽衫__color_00001	obj_032_连帽衫__color_00001__gt00	obj_032_连帽衫	连帽衫	clothing	obj_032_连帽衫__color_00001__yolo_pred00	clothing	0.891974	0.891974	1
obj_032_连帽衫__color_00002	obj_032_连帽衫__color_00002__gt00	obj_032_连帽衫	连帽衫	clothing	obj_032_连帽衫__color_00002__yolo_pred00	clothing	0.927038	0.927038	1
obj_033_遥控器__color_00000	obj_033_遥控器__color_00000__gt00	obj_033_遥控器	遥控器	button	obj_033_遥控器__color_00000__yolo_pred00	button	0.933382	0.933382	1
obj_033_遥控器__color_00001	obj_033_遥控器__color_00001__gt00	obj_033_遥控器	遥控器	button	obj_033_遥控器__color_00001__yolo_pred00	button	0.820456	0.820456	1
obj_033_遥控器__color_00002	obj_033_遥控器__color_00002__gt00	obj_033_遥控器	遥控器	button	obj_033_遥控器__color_00002__yolo_pred00	button	0.944575	0.944575	1
obj_033_遥控器__color_00003	obj_033_遥控器__color_00003__gt00	obj_033_遥控器	遥控器	button	obj_033_遥控器__color_00003__yolo_pred00	button	0.762558	0.762558	1
obj_034_铁锅__color_00000	obj_034_铁锅__color_00000__gt00	obj_034_铁锅	铁锅	open_container	obj_034_铁锅__color_00000__yolo_pred00	open_container	0.886333	0.886333	1
obj_034_铁锅__color_00001	obj_034_铁锅__color_00001__gt00	obj_034_铁锅	铁锅	open_container	obj_034_铁锅__color_00001__yolo_pred00	open_container	0.908085	0.908085	1
obj_034_铁锅__color_00002	obj_034_铁锅__color_00002__gt00	obj_034_铁锅	铁锅	open_container	obj_034_铁锅__color_00002__yolo_pred00	open_container	0.864278	0.864278	1
obj_034_铁锅__color_00003	obj_034_铁锅__color_00003__gt00	obj_034_铁锅	铁锅	open_container	obj_034_铁锅__color_00003__yolo_pred00	open_container	0.929574	0.929574	1
obj_035_锅铲__color_00000	obj_035_锅铲__color_00000__gt00	obj_035_锅铲	锅铲	spatula	obj_035_锅铲__color_00000__yolo_pred00	spatula	0.959589	0.959589	1
obj_035_锅铲__color_00001	obj_035_锅铲__color_00001__gt00	obj_035_锅铲	锅铲	spatula	obj_035_锅铲__color_00001__yolo_pred00	spatula	0.968184	0.968184	1
obj_035_锅铲__color_00002	obj_035_锅铲__color_00002__gt00	obj_035_锅铲	锅铲	spatula	obj_035_锅铲__color_00002__yolo_pred00	spatula	0.959229	0.959229	1
obj_036_锅铲2__color_00000	obj_036_锅铲2__color_00000__gt00	obj_036_锅铲2	锅铲2	spatula	obj_036_锅铲2__color_00000__yolo_pred00	spatula	0.912027	0.912027	1
obj_036_锅铲2__color_00001	obj_036_锅铲2__color_00001__gt00	obj_036_锅铲2	锅铲2	spatula	obj_036_锅铲2__color_00001__yolo_pred00	spatula	0.876113	0.876113	1
obj_036_锅铲2__color_00002	obj_036_锅铲2__color_00002__gt00	obj_036_锅铲2	锅铲2	spatula	obj_036_锅铲2__color_00002__yolo_pred00	spatula	0.917418	0.917418	1
obj_036_锅铲2__color_00003	obj_036_锅铲2__color_00003__gt00	obj_036_锅铲2	锅铲2	spatula	obj_036_锅铲2__color_00003__yolo_pred00	spatula	0.925734	0.925734	1
obj_037_锅铲3__color_00000	obj_037_锅铲3__color_00000__gt00	obj_037_锅铲3	锅铲3	spatula	obj_037_锅铲3__color_00000__yolo_pred00	spatula	0.887227	0.887227	1
obj_037_锅铲3__color_00001	obj_037_锅铲3__color_00001__gt00	obj_037_锅铲3	锅铲3	spatula	obj_037_锅铲3__color_00001__yolo_pred00	spatula	0.866630	0.866630	1
obj_037_锅铲3__color_00002	obj_037_锅铲3__color_00002__gt00	obj_037_锅铲3	锅铲3	spatula	obj_037_锅铲3__color_00002__yolo_pred00	spatula	0.846968	0.846968	1
obj_037_锅铲3__color_00003	obj_037_锅铲3__color_00003__gt00	obj_037_锅铲3	锅铲3	spatula	obj_037_锅铲3__color_00003__yolo_pred00	spatula	0.911593	0.911593	1
obj_038_食用油__color_00000	obj_038_食用油__color_00000__gt00	obj_038_食用油	食用油	bottle	obj_038_食用油__color_00000__yolo_pred00	bottle	0.924184	0.924184	1
obj_038_食用油__color_00001	obj_038_食用油__color_00001__gt00	obj_038_食用油	食用油	bottle	obj_038_食用油__color_00001__yolo_pred00	bottle	0.925987	0.925987	1
obj_038_食用油__color_00002	obj_038_食用油__color_00002__gt00	obj_038_食用油	食用油	bottle	obj_038_食用油__color_00002__yolo_pred00	bottle	0.937053	0.937053	1
obj_038_食用油__color_00003	obj_038_食用油__color_00003__gt00	obj_038_食用油	食用油	bottle	obj_038_食用油__color_00003__yolo_pred00	bottle	0.929984	0.929984	1
obj_039_冰箱__color_00000	obj_039_冰箱__color_00000__gt00	obj_039_冰箱	冰箱	refrigerator	obj_039_冰箱__color_00000__yolo_pred00	refrigerator	0.928268	0.928268	1
obj_039_冰箱__color_00001	obj_039_冰箱__color_00001__gt00	obj_039_冰箱	冰箱	refrigerator	obj_039_冰箱__color_00001__yolo_pred00	refrigerator	0.894341	0.894341	1
obj_039_冰箱__color_00002	obj_039_冰箱__color_00002__gt00	obj_039_冰箱	冰箱	refrigerator	obj_039_冰箱__color_00002__yolo_pred00	refrigerator	0.928143	0.928143	1
obj_039_冰箱__color_00003	obj_039_冰箱__color_00003__gt00	obj_039_冰箱	冰箱	refrigerator	obj_039_冰箱__color_00003__yolo_pred00	refrigerator	0.918208	0.918208	1
obj_040_勺子4__color_00000	obj_040_勺子4__color_00000__gt00	obj_040_勺子4	勺子4	spoon	obj_040_勺子4__color_00000__yolo_pred00	spoon	0.930216	0.930216	1
obj_040_勺子4__color_00001	obj_040_勺子4__color_00001__gt00	obj_040_勺子4	勺子4	spoon	obj_040_勺子4__color_00001__yolo_pred00	spoon	0.922310	0.922310	1
obj_040_勺子4__color_00002	obj_040_勺子4__color_00002__gt00	obj_040_勺子4	勺子4	spoon	obj_040_勺子4__color_00002__yolo_pred00	spoon	0.920785	0.920785	1
obj_040_勺子4__color_00003	obj_040_勺子4__color_00003__gt00	obj_040_勺子4	勺子4	spoon	obj_040_勺子4__color_00003__yolo_pred00	spoon	0.930257	0.930257	1
obj_040_勺子4__color_00004	obj_040_勺子4__color_00004__gt00	obj_040_勺子4	勺子4	spoon	obj_040_勺子4__color_00004__yolo_pred00	spoon	0.915978	0.915978	1
obj_041_微波炉__color_00000	obj_041_微波炉__color_00000__gt00	obj_041_微波炉	微波炉	microwave	obj_041_微波炉__color_00000__yolo_pred00	microwave	0.969816	0.969816	1
obj_042_托盘2__color_00000	obj_042_托盘2__color_00000__gt00	obj_042_托盘2	托盘2	plate	obj_042_托盘2__color_00000__yolo_pred00	plate	0.983658	0.983658	1
obj_042_托盘2__color_00001	obj_042_托盘2__color_00001__gt00	obj_042_托盘2	托盘2	plate	obj_042_托盘2__color_00001__yolo_pred00	plate	0.918640	0.918640	1
obj_042_托盘2__color_00002	obj_042_托盘2__color_00002__gt00	obj_042_托盘2	托盘2	plate	obj_042_托盘2__color_00002__yolo_pred00	plate	0.961765	0.961765	1
obj_042_托盘2__color_00003	obj_042_托盘2__color_00003__gt00	obj_042_托盘2	托盘2	plate	obj_042_托盘2__color_00003__yolo_pred00	plate	0.717040	0.717040	1
obj_043_桃__color_00000	obj_043_桃__color_00000__gt00	obj_043_桃	桃	fruit	obj_043_桃__color_00000__yolo_pred00	fruit	0.968942	0.968942	1
obj_043_桃__color_00001	obj_043_桃__color_00001__gt00	obj_043_桃	桃	fruit	obj_043_桃__color_00001__yolo_pred00	fruit	0.974291	0.974291	1
obj_043_桃__color_00002	obj_043_桃__color_00002__gt00	obj_043_桃	桃	fruit	obj_043_桃__color_00002__yolo_pred00	fruit	0.977400	0.977400	1
obj_043_桃__color_00003	obj_043_桃__color_00003__gt00	obj_043_桃	桃	fruit	obj_043_桃__color_00003__yolo_pred00	fruit	0.970962	0.970962	1
obj_044_梨__color_00000	obj_044_梨__color_00000__gt00	obj_044_梨	梨	fruit	obj_044_梨__color_00000__yolo_pred00	fruit	0.967494	0.967494	1
obj_044_梨__color_00001	obj_044_梨__color_00001__gt00	obj_044_梨	梨	fruit	obj_044_梨__color_00001__yolo_pred00	fruit	0.966344	0.966344	1
obj_044_梨__color_00002	obj_044_梨__color_00002__gt00	obj_044_梨	梨	fruit	obj_044_梨__color_00002__yolo_pred00	fruit	0.949310	0.949310	1
obj_044_梨__color_00003	obj_044_梨__color_00003__gt00	obj_044_梨	梨	fruit	obj_044_梨__color_00003__yolo_pred00	fruit	0.955516	0.955516	1
obj_045_椅子__color_00000	obj_045_椅子__color_00000__gt00	obj_045_椅子	椅子	chair	obj_045_椅子__color_00000__yolo_pred00	chair	0.779553	0.779553	1
obj_045_椅子__color_00001	obj_045_椅子__color_00001__gt00	obj_045_椅子	椅子	chair	obj_045_椅子__color_00001__yolo_pred00	chair	0.840231	0.840231	1
obj_045_椅子__color_00002	obj_045_椅子__color_00002__gt00	obj_045_椅子	椅子	chair	obj_045_椅子__color_00002__yolo_pred00	chair	0.917904	0.917904	1
obj_045_椅子__color_00003	obj_045_椅子__color_00003__gt00	obj_045_椅子	椅子	chair	obj_045_椅子__color_00003__yolo_pred00	chair	0.821296	0.821296	1
